ARGUMENT,TYPE 
Nothing incriminating was recovered from them.,PREMISE
Nothing remained to be recovered or discovered from them.,PREMISE
Custodial interrogation of these applicants is already over.,PREMISE
Their further detention in jail is not necessary.,PREMISE
"Hence, this application may be allowed.",CONCLUSION
4] Ld. DGP strongly opposed this application.,PREMISE
"It is her contention that there is gang of thieves, its modus­ operandi was that to commit theft of vehicles take them to another State, dismantle their spare parts and disposed of the stolen property.",PREMISE
This incident is committed by such gang.,PREMISE
This offence is committed in organized manner.,PREMISE
Stolen property already disposed of hence could not be recovered.,PREMISE
"This gang committed theft of eight trucks in similar manner within the jurisdiction of Chandannagar, Mundhwa, Bharati Vidyapeeth and Chikhali police stations.",PREMISE
Accused ­Mehboob Shaikh had taken the stolen trucks to Hyderabad and sold them to persons acquainted with him and police are making investigation whether thereafter those trucks again sold or their spare parts were separated.,PREMISE
She further stated that police are going to invoke provisions of MCOC Act against this gang.,PREMISE
The bail application filed by his co­ accused before Hon'ble High Court was came to be rejected.,CONCLUSION
"5] During investigation, it was revealed that Mustkin Ali admitted his guilt and told that with the help of these two applicants and one Lala @ Sayyed Mansoor those stolen trucks were taken away out of Pune and thereafter those trucks were handed over to Babloo @ Firoz Shaikh and he handed over them to Mehboob Gulab Shaikh at Aurad Shahajani, District Latur.",PREMISE
"Lastly, they were sold to one person at Hyderabad.",PREMISE
"Thus, these applicants have played major role in committing theft of those two parked and locked vehicles without the consent or knowledge of Complainant or his brother.",PREMISE
"Therefore, during investigation police could not recover the stolen property.",CONCLUSION
During investigation it was 3 Bail application no. 31/2019 revealed that by adopting similar modus­ operandi several vehicles were stolen by them from Pune city from the jurisdiction of several police stations.,PREMISE
Offence is serious.,PREMISE
Investigation is not completed.,PREMISE
There is possibility of coming into light of several other offences at the instance of these applicant and their gang.,PREMISE
Ld. DGP informed that police are taking steps for invoking provisions of MCOC Act.,PREMISE
"Hence, application deserves to be rejected.",CONCLUSION
"Therefore, I pass the following order.",CONCLUSION
2] The applicant is practicing advocate by profession.,PREMISE
One Geeta Bhave executed her last Will on 03/12/2016.,PREMISE
"Thereafter, she died on 12/12/2017.",PREMISE
Advocate for applicant claims that in Registration Act 1908 there is provision to register a Will even after death of executor.,PREMISE
"As per that provision, this applicant merely identified three persons including one beneficiary of that Will and thereby assisted for registration of that Will.",PREMISE
Applicant is permanent resident of Pune.,PREMISE
He is professional advocate.,PREMISE
There are no criminal antecedent against him.,PREMISE
"Considering the nature of offence and allegations, this is a fit case to grant ad­interim anticipatory bail to him.",PREMISE
"Hence, I pass the following order.",CONCLUSION
2] The crime has been registered on report of Sangita Pavase who is mother of victim girl Tejal.,PREMISE
"She alleged that, her daughter Tejal got acquainted with Applicant through social media.",PREMISE
She used to chat with Applicant.,PREMISE
But Applicant avoided her and denied for love affair.,PREMISE
"Therefore, due to frustration her daughter committed suicide by hanging herself on 17/12/2018.",PREMISE
"Hence, she lodged the report.",PREMISE
"3] Applicant submits that, he is resident of Sangli.",PREMISE
The incident had taken place at Pune.,PREMISE
He never met victim Tejal.,PREMISE
He was not present at the spot.,PREMISE
Absolutely there was no inducement to Tejal by Applicant.,PREMISE
"Moreover, police arrested him on suspicion on 29/12/2018.",PREMISE
Practically investigation is over.,PREMISE
"Therefore, he prays for grant of bail.",CONCLUSION
4] Learned APP Mr. Satpute appeared for Respondent/State and filed report of investigation officer.,PREMISE
"He submits that, due to denial of Applicant for love affair and friendship, victim has committed suicide.",PREMISE
Investigation is in progress.,PREMISE
"Therefore, the application may be rejected.",CONCLUSION
5] Heard the learned Adv. A. P. Malviya for Applicant and the learned APP Mr. Satpute for Respondent/State.,PREMISE
Perused the Papers.,PREMISE
"6] Prima facie, Applicant is resident of Sangli.",PREMISE
Incident had taken place at Pune.,PREMISE
"The allegations are to the extent that, Applicant avoided chatting with victim due to his business work.",PREMISE
"Prima facie, Applicant not seen to be intended that, victim to commit suicide.",PREMISE
Investigation with the Applicant is over.,PREMISE
Further detention of the Applicant is not necessary.,PREMISE
"Hence, I prefer to pass following Order.",CONCLUSION
"Anita Khedkar, API, Social Security Cell, Crime Branch, Pune reported that, on 22/11/2018 they got information about running a prostitution center at Amantra Spa, Viman Nagar, Pune under pretext of Spa Center.",PREMISE
"Therefore, raid was arranged.",PREMISE
A dummy customer was sent to the center.,CONCLUSION
"On his signal, raiding party entered into the premises.",PREMISE
They found three girls of Thailand national at the spot.,PREMISE
They have recovered amount as well as mobile phone and some objectionable articles at the spot.,PREMISE
Then report came to be lodged.,PREMISE
"3] Applicants submit that, their earlier bail application was rejected, because investigation was in progress.",PREMISE
"But now, police have filed charge­sheet.",PREMISE
"Therefore, there is substantial change in circumstance.",PREMISE
They are behind the bars since 23/11/2018.,PREMISE
Investigation is over.,PREMISE
"Therefore, their further custody is not necessary.",PREMISE
"Hence, they pray for grant of bail.",CONCLUSION
"4] Learned APP Mr. Satpute appeared for Respondent/State and filed report of investigation officer and submitted that, there is no substantial change in circumstance.",PREMISE
Victim girls are foreign nationals.,PREMISE
"Therefore, there are strong chances of tampering.",PREMISE
Prima facie material is available against the Applicants.,PREMISE
"Therefore, he prays for rejection of the application.",CONCLUSION
5] Heard the learned Adv Mr. Bidkar for Applicants and the learned APP Mr. Satpute for Respondent/State.,PREMISE
Perused the Papers.,PREMISE
"6] Now, investigation is over, charge­sheet has been filed.",PREMISE
"Therefore, there is change in circumstance.",PREMISE
"Prima facie, three victim girls are shown to be major.",PREMISE
Investigation with the victim girls is also over.,PREMISE
"Therefore, further detention of the Applicants may not be necessary.",CONCLUSION
"If strict conditions are imposed, the purpose of prosecution will be served.",CONCLUSION
"Therefore, I prefer to pass following Order.",CONCLUSION
"2] It is the case of prosecution that, uncle of Complainant refused to give extortion amount of Rs.5,000/­ and to vacate the premises of said shop.",PREMISE
"Hence, on 04/10/2018 at 15.30 hours at Patil Estate Zopadpatti, Shivajinagar, Pune, Complainant and one Ayub Qureshi employee of Beef shop of uncle of Complainant while present in the Beef shop.",PREMISE
"On the say of accused­ Rahim Saudagar assault was made by accused­persons with the help of their associates by means of sickles, cement blocks, plastic pipe and wooden stump on both hands, ribs etc. with intention to kill them and created terror in that vicinity.",PREMISE
3] Advocate for applicant in his argument stated that applicant has been falsely implicated in this case.,PREMISE
The only allegation against this applicant is that he has beaten by hands and legs.,PREMISE
The offence is not punishable with death or life imprisonment.,PREMISE
The complainant and injured are out of danger.,PREMISE
They are discharged from the hospital.,PREMISE
Investigation in respect of applicant is over.,PREMISE
Applicant is only earning member of his family.,PREMISE
He is 21 years of age and working as labour.,PREMISE
"Therefore, he may be released on bail.",CONCLUSION
4] Ld. DGP in her argument stated that at the time of incident all were present with sticks and wooden stumps.,PREMISE
The incident happened in front of shop of uncle of Complainant.,PREMISE
First of all intimidation was given then sickle was thrown to cause injuries to complainant and that labour and thereafter by cement block blow was given.,PREMISE
At the relevant time damage was caused to shop also.,PREMISE
They created terror in the mind of people gathered there.,PREMISE
Offence is serious.,PREMISE
"If this applicant will be released on bail, there is possibility of tampering the prosecution witnesses and evidence.",PREMISE
"Hence, this application may be rejected.",CONCLUSION
"5] From last three months, this applicant is in jail.",PREMISE
Investigation is completed.,PREMISE
It appears that charge­sheet has been filed.,PREMISE
"Considering the nature of offence and allegations, further detention of the applicant is not necessary.",PREMISE
"Hence, I pass the following order.",CONCLUSION
The learned Counsel for the applicant has submitted that the applicant has no role to play in alleged offences.,PREMISE
"Already, accused 1, her husband is released on bail.",PREMISE
"On going through copy of FIR, it is evident that duo accused had agreed to purchase a flat and paid some­ sum, applied for home­loan.",PREMISE
"Thus, the transaction seems to be of civil nature.",CONCLUSION
"In view of above, apprehension in the mind of applicant seems to be reasonable, warranting ad­interim­ protection, until hearing of exh.1.",PREMISE
"Hence, the order :",CONCLUSION
The learned Counsel for the applicant has submitted that the applicant is not concerned with the offence.,PREMISE
The present offence is emanated from commercial transaction between informant and the accused.,PREMISE
"The former supplied grapes while latter exported the same, being an Agent.",PREMISE
The quality of the grapes was refused by the concerned Country.,PREMISE
"Therefore, amount thereof remained unpaid.",PREMISE
"The learned AGP has submitted that the applicant was paid by the concerned customer and the consideration was deposited in his account, but it was not 2 transferred to the account of victim.",PREMISE
"On going through record, it is conspicuous that the applicant acted as an commission agent, exported grapes of farmers to Russia.",PREMISE
He has committed alike offences wherein innocent farmers were duped.,PREMISE
"Also, cheques issued by him against the consideration of grapes were dishonoured.",PREMISE
"Alike offences at Niphad, Nasik, Pimpalgaon Baswant, are registered.",PREMISE
Things did not rest there.,PREMISE
The applicant committed alike offences even out of Maharashtra.,PREMISE
"CR No. 0708/2017 at Civil Line Police Thana, Harayana under Section 420, 406, 506, 467, 468.",PREMISE
The learned Counsel for the applicant has submitted that Harayana High Court was pleased to grant him bail.,PREMISE
"In the case­in­hand, record shows that the applicant has exported grapes of victim and amassed the consideration, since it was deposited in his account.",PREMISE
"However, on 19.09.2017 he endeavoured to inform the victim that five containers were rejected over quality.",PREMISE
That speaks everything about his modus operandi.,PREMISE
"The learned Counsel for the informant in his written objection exh. 6 has minutely demonstrated the 3 container numbers, date and details of sale­notes, total worth 74,890 US $, i.e. Rs. 52,42,300/­.",PREMISE
"Considering magnitude of offence, involvement of applicant in the crime, possibility of fleeing away from Nation, in my view, it would not be apposite to enlarge the applicant even on conditional bail.",CONCLUSION
"Hence, the order :",CONCLUSION
2] Informant Madhura Kaushal Naik is wife of Applicant No. 1.,PREMISE
Rest of the Applicants are her in laws.,PREMISE
"She alleged that, she married with Applicant No. 1 on 19/12/2016.",PREMISE
"Then, all Applicants ill­treated her for domestic reasons.",PREMISE
Applicant No. 1 insisted her for doing job and had assaulted her by slapping.,PREMISE
Rest of the Applicants also ill­treated her by threatening and by abusing.,PREMISE
"Therefore, she lodged the report.",CONCLUSION
"3] Applicants submit that, they have no committed any crime.",PREMISE
"Within short period of marriage, Informant has made general allegations of ill­treatment.",PREMISE
Applicant No. 2 and 3 reside at different places.,PREMISE
"Therefore, there is no question of ill­treatment by these Applicants.",PREMISE
"Moreover, no immediate recovery is pending against them.",PREMISE
They are reputed persons having roots in the society.,PREMISE
"Hence, they pray for interim protection.",CONCLUSION
4] Heard learned Adv. Moh.,PREMISE
Perused the FIR and Papers.,PREMISE
"5] Prima facie, the role attributed to present Applicants is about ill­treatment to Informant for domestic reasons.",PREMISE
No immediate recovery is pending against Applicants.,PREMISE
Applicants do not have any criminal antecedents.,PREMISE
Their presence can be secured by putting suitable conditions.,PREMISE
"Hence, I prefer to pass following Order.",CONCLUSION
"2] It is the case of prosecution that, Balasaheb Sonawane filed complaint that in between his son Akshay Sonawane and accused previously quarrel took place.",PREMISE
"Hence, complaint was filed with police chowky.",PREMISE
"Therefore, Akshay was having grudge and he pelted stones against the house of Laxmi Thorat.",PREMISE
"Therefore, her husband Madhukar Thorat and his 2­3 associates made attack on the house of Complainant.",PREMISE
"They had taken search of his son Akshay and thereafter they had made assault by means of sickle and iron rod with an intention to kill and caused serious injuries to him and while taking treatment in Sassoon Hospital, Pune he succumbed to the injuries.",PREMISE
"On the basis of that complaint, this offence was came to be registered.",CONCLUSION
Applicants are arrested on 03/12/2018.,CONCLUSION
3] Advocate for the applicants in his argument stated that deceased Akshay was habitual offender and drunkard.,PREMISE
There was 2 no motive or intention of applicants to commit his murder.,PREMISE
The incident was happened in spur of moment.,PREMISE
Investigation has been completed .,PREMISE
Further detention of the applicants is not necessary.,PREMISE
There are no criminal antecedents against them.,PREMISE
All these three accused are housewives.,PREMISE
"Therefore, they may be released on bail.",CONCLUSION
4] Ld. DGP strongly opposed this application.,PREMISE
It is her contention that offence is serious.,PREMISE
It is punishable upto life imprisonment.,PREMISE
Investigation is not yet completed.,PREMISE
"At this juncture if these applicants would be released on bail, there is possibility of tampering the prosecution witnesses who are residents of same locality and evidence.",PREMISE
"Hence, this application may be rejected.",CONCLUSION
5] IO filed say to this application.,PREMISE
In his say he has stated that the applicants and witnesses are residents of same locality.,PREMISE
"If this application will be allowed, there is possibility of tampering prosecution witnesses.",PREMISE
So also possibility cannot be ruled out that applicants will call their relatives and again would pick up quarrel.,PREMISE
CA report is awaited with muddemal property sent for analysis.,PREMISE
"Therefore, this application may be rejected.",CONCLUSION
6] Major part of the investigation is already completed.,PREMISE
All these three applicants are ladies.,PREMISE
Nothing remained to be recovered or discovered from them.,PREMISE
Only CA report is awaited.,PREMISE
"By imposing stringent conditions on them, they can be released on bail.",CONCLUSION
"Hence, I pass the following order.",CONCLUSION
"2] In short, the prosecution case is that the complainant the complainant Riya Sanjay Hivarekar lodged the report to Khadak police station interalia contending that the accused threatened the complainant that he will inform about her previous love affair to her parents and will show them the messages sent by her to her first lover Darshan Nayar and by threatening such, he committed physical sexual intercourse with her in the month of January 2018 at midnight.",PREMISE
The accused in January 18 went to the house of complainant and made her to open the door and forcibly committed sexual intercourse with her.,PREMISE
"When she refused for it, he threatened her that he will get her father known and will show messages sent by her to her first lover.",PREMISE
"The accused has also threatened her that if she discloses this fact to any one, he will defame her in friend circle and 2 accused committed sexual intercourse with her in March 2018.",PREMISE
The accused has also threatened her that she should keep physical relations with his friends also.,PREMISE
"On these allegations, she lodged report and offence punishable under Sections 376(2)(n), 452, 504, 506 came to be registered against the accused vide Crime No. 439/2018.",CONCLUSION
3] The contention of the accused/applicant is that he has not committed any offence as alleged.,PREMISE
"He is a student and studying at BMCC College, Pune.",PREMISE
He is permanent resident of Pune.,PREMISE
The complainant and accused are the classmates and studding together in the same college.,PREMISE
They know each other since last many years and have developed good and friendly relations between them.,PREMISE
He has not threatened to the complainant.,PREMISE
Complainant has made false and baseless story.,PREMISE
He has never pressurized her.,PREMISE
No case is made out against him for the offence punishable under Section 376 of the IPC.,PREMISE
He is ready to abide by the terms and conditions that may be imposed.,PREMISE
Lastly he prayed to allow the application.,CONCLUSION
4] The learned A.P.P. has filed his say at Exh.4 and opposed the application on the count that the offence is serious in nature.,PREMISE
If he is released on bail he will pressurize the witnesses and will make obstacle in the 3 investigation.,PREMISE
Lastly prayed to reject the application.,CONCLUSION
5] Heard learned A.P.P for the State and learned counsel for the accused.,PREMISE
Gone through the record.,PREMISE
"6] In view of these facts, following points arise for determination and findings thereon are recorded against each of them, for the reasons stated below : Points Findings 1.",PREMISE
Whether the accused is entitled for bail ?,PREMISE
Yes.,CONCLUSION
What order ?,PREMISE
As per final order.,CONCLUSION
"7] On perusal of contents of FIR, it clearly reveals that the accused and complainant are taking eduction in the same college in the same class and they are acquainted with each other for last many years.",PREMISE
The accused is in jail since 16.12.2018.,PREMISE
There is huge delay in lodging the FIR.,PREMISE
"According to prosecution, the offence is committed in the month of January 2018 and March 2018 and report is lodged on 16.12.2018.",PREMISE
The prosecution has also not prayed for further detention of accused for further investigation.,CONCLUSION
8] The learned counsel for the accused has vehemently argued that the accused is a student and 4 taking education in 2nd year.,PREMISE
"His examination will be commenced in the month of February, for which he is required to study.",PREMISE
"Therefore, considering the educational carrier of accused and considering the fact that accused and complainant were acquainted with each other and considering documentary evidence placed on record by the accused, I find it just and proper to release the applicant on bail.",PREMISE
"Therefore, it is expedient to pass the following order :-",CONCLUSION
2] Heard Ld. Counsel on behalf of applicant­accused Shri.,PREMISE
Shahid Akhtar and Ld. APP Shri.,PREMISE
3] Prima­facie from record and submissions of Ld. Counsel on behalf of both parties it is found that informant Vinay Vivek Arhana and his father Vivek Arhana are running Rozary Education Society and they are partners of the said education society.,PREMISE
They had engaged Adv. Sagar Suryawanshi as their legal advisor for the work of their said education society and even for other legal advise including finance etc.,PREMISE
"He had compelled informant to make a facility agreement with his wife Sheetal Tejwani, which was later on cancelled.",PREMISE
They both have falsely represented to informant that they are owner of land S.No.,PREMISE
394/2 at Talegaon and convinced the informant to purchase the said land.,PREMISE
The informant purchased their land and mortgaged the same with Cosmos Bank.,PREMISE
"But, later on it is found that they are not owners of said land.",PREMISE
"4] Adv. Sagar Suryawanshi, his wife Sheetal Tejwani and present applicant Adv. Priyanaka Shelar in collusion with each other have prepared false affidavits and papers of the informant for Rozary Education Society and thereby filed false special civil suit no. 1598/15.",PREMISE
"In said suit, present applicant has filed her Vakalatnama and affidavit.",PREMISE
"But on enquiry, it is found that they have forged the affidavit, documents and vakalatnama with signature of informant and thereby filed said false suit on the basis of forged documents.",PREMISE
"The informant has never instructed present applicant and Adv. Sagar Suryawanshi for 2 O in BA No.42/19 CNR­MHPU01­000170­2019 filing the said suit, nor he has executed affidavits before Notary.",PREMISE
"He has not signed vakilpatra, but, his all the signatures are forced on so many documents and the said suit was filed.",PREMISE
5] The Ld. APP has brought to my notice that the applicant and others with force the signatures have filed say­ w.s. in the above numbered suit and thereby requested of grant for injunction in favour of plaintiff in that suit.,PREMISE
According to him crores of rupees transactions and documents have been forged by the applicant and other co­ accused.,PREMISE
"6] However, the applicant was arrested in this crime on 26.12.2018 and after P.C.R. from 27.12.2018 to 31.12.2018 she is in jail since 01.01.2019.",PREMISE
In any case the record prima­facie does not show the breach of trust or fraud of crores of rupees cash by the applicant.,PREMISE
"Now even though the property or documents of lacs or crores of rupees are involved in the suit, but prima­facie at the most the role of applicant would be forgery of signatures on Vakilpatra, affidavit and other documents.",PREMISE
The some of the documents are in the court.,PREMISE
The police failed to recover any document from applicant during P.C.R. Therefore no purpose is going to be served by keeping the applicant behind the bar.,PREMISE
She is having girl child of about one year and two­three months.,PREMISE
"Therefore, in my opinion it would be just and proper to grant bail to applicant on some conditions.",CONCLUSION
Hence the order.,CONCLUSION
[2] Perused the application and say given by the respondent at Exh.4.,PREMISE
[3] Heard learned advocate Mr. Ghogare for the applicant and APP Mr. Aurangabadkar for the respondent.,PREMISE
[4] Learned advocate Mr. Ghogare for the applicant argued that crime is of the year 2014 and accused was arrested recently.,PREMISE
He is falsely implicated in the present crime.,PREMISE
There is nothing on record to show that accused was absconding.,PREMISE
"In fact, accused had no knowledge that accused was booked in the present crime.",PREMISE
There is no recovery at the instance of accused.,PREMISE
"By relying on the judgment of Hon'ble Bombay High Court in the case of Mahipati Bapu Bandgar Vs. State of Maharashtra, 2002 ALL MR (Cri) 565, he submitted that fact of absconding would not itself disentitle the accused to get the bail.",PREMISE
"He further relied on another judgment of Hon'ble Bombay High Court in the case of Deepak Charandas Bhatia Vs. State of Maharashtra, 2017(3) Bom.",PREMISE
"502 argued that during intervening period, the investigating agency neither arrested the applicant nor took steps for issuing proclamation and, therefore, it cannot be said that accused was absconding.",PREMISE
[5] The learned APP argued that the offence in question is serious.,PREMISE
The test identification parade of the accused is to be taken.,PREMISE
"The accused was absconding and there is every likelihood that if he is released on bail, he will abscond.",PREMISE
He prayed for rejection of the application.,CONCLUSION
"[6] Admittedly, there is no recovery at the instance of accused in the present crime.",PREMISE
The offence was registered against unknown person.,PREMISE
The requirement of the accused for test identification parade cannot be the ground for rejecting the bail application.,PREMISE
"So far as the contention that accused was absconding, nothing is placed on record to show that investigating agency made any efforts to arrest the accused during intervening period or took steps for issuing proclamation.",PREMISE
"Under these circumstances, having regard to the nature of the offence and the fact that other co­ accused are already released on bail, I pass the following order.",CONCLUSION
"Prosecution case is that on 21/10/2018 at about 02­35 p.m. at S. No.2004, Sadashiv Peth, Tilak road, Pune, present applicant/accused along with other co­accused, in furtherance of their common intention assaulted on victim­Dinesh Kamble and with intent to kill him, caused grievous injuries with knife on vital part of injured.",PREMISE
"Learned counsel for the applicant/accused submitted that applicant/accused has not committed any offence, he has been falsely implicated in this offence.",PREMISE
She further submitted that juvenile in conflict has caused injuries to injured.,PREMISE
She further submitted that name of applicant/accused intentionally implicated in this crime.,PREMISE
She further submitted that applicant/accused has not caused any injury to the victim.,PREMISE
She further submitted that victim is now discharged from hospital.,PREMISE
"Custodial interrogation of the applicant­accused is now not necessary, therefore, applicant/accused be released on bail.",CONCLUSION
"Per contra, learned APP submitted that name of applicant/accused is mentioned in the FIR and he was taken in cusotdy from the spot of incident.",PREMISE
He further submitted that there are eye witnesses to show that the applicant/accused has assaulted 2 victim.,PREMISE
"He further submitted that applicant/accused is habitual offender and some serious offences are pending against him, therefore, his application be rejected.",PREMISE
"On perusing case diary, prima facie it reveals that on the basis of statement of Sachin Mali, a crime No.370/2018 came to be registered at Khadak Police Station, for the offence punishable u/s.307 r/w.s 34 of the Indian Penal Code and u/s. 37(1)/135 of the Mumbai Police Act.",PREMISE
"Moreover from FIR, it reveals that on 21/10/2018, Sachin Mali received information about incident, therefore, he rushed to the spot of incident,and shifted injured to the hospital.",PREMISE
"Moreover, from the statement of witness­Amit Pawar, it reveals that on 21/10/2018 at about 01­30 p.m., when he was proceeding by Tilak road, Pune, he heard shouts from dilapidated building, therefore, he gave call to Police Control Room, and thereafter, he along with his brother entered in the said building, where he found victim in injured condition.",PREMISE
He caught other three boys including present applicant/accused.,PREMISE
"Moreover, Dinesh Kamble­ injured in his statement stated that on instigation of present applicant/accused, Mahesh Tiwari­ juvenile in conflict inflicted blow of knife on his forehead, abdomen etc., and caused injuries.",PREMISE
"Thus, as per statement of injured­Dinesh Kamble, accused­Mahesh Tiwar­ juvenile in conflict inflicted blow of knife on him and caused grievous injuries.",PREMISE
"So far as allegations against present applicant/ accused is concerned, at the time of incident, he suggested to Mahesh Tiwari – juvenile in conflict for making assault.",PREMISE
"Moreover, it appears that present applicant/accused is in custody from 21/10/2018.",PREMISE
Investigating officer has already seized knife used for the alleged commission of offence.,PREMISE
"Thus,custodial interrogation of present applicant/accused is now not necessary.",PREMISE
"Therefore, considering all these aspects, in my view if present applicant­accused is released 3 on bail on certain conditions, no prejudice will be caused to the prosecution.",CONCLUSION
"Hence, I pass the following order.",CONCLUSION
2] The crime has been registered on report of victim lady of 35 years who is a married lady.,PREMISE
"She alleged that, prior to seven months, she got acquainted with Applicant at village Karegaon, Tal.",PREMISE
"That time, Applicant took her mobile number and used to call her and used to assure her for marriage.",PREMISE
"At that time, on one day, when she was alone in the house of her Aunt, Applicant established physical relations with her by giving assurance of marriage.",PREMISE
"Thereafter, also Applicant committed sexual intercourse with her at Baburao Nagar, Shirur, Dist.Pune.",PREMISE
"However, on 15/11/2018, Applicant denied for marriage and threatened.",PREMISE
"Therefore, she lodged the report.",CONCLUSION
"3] Applicant submits that, police arrested him on 16/11/2018.",PREMISE
Since then he is behind the bars.,PREMISE
Investigation is over.,PREMISE
"Further, Informant is married lady of 35 years, having sufficient level of understanding.",PREMISE
Still she maintained relations with Applicant.,PREMISE
"Therefore, the relations were absolutely consensual.",PREMISE
No offence of rape would attract in this matter.,PREMISE
"Applicant submits that, his further custody is not necessary.",PREMISE
"Therefore, he may be released on bail.",CONCLUSION
4] Learned APP Mr. Satpute appeared for Respondent/State and filed report of investigation officer.,PREMISE
"He submits that, offence is serious in nature.",PREMISE
There are chances of tampering.,PREMISE
"Hence, the application may be rejected.",CONCLUSION
5] Heard the learned Adv. S. D Swami for Applicant and the learned APP Mr. Satpute for Respondent/State.,PREMISE
Perused the Papers.,PREMISE
"6] Prima facie, the Informant is major and married lady, having sufficient level of understanding.",PREMISE
She is well aware about the consequences of her act.,PREMISE
Still she did not file report against Applicant at the earliest.,PREMISE
"Further, I perused the medical examination report of Informant, her genital and private parts are shown to be normal.",PREMISE
There is no evidence of any injury on person of Informant.,PREMISE
"Therefore, prima facie possibility of consensual relations between Applicant and Informant cannot be ruled out.",PREMISE
Investigation with the Applicant is over.,PREMISE
"Therefore, further detention of the Applicant will serve no purpose.",PREMISE
"By putting necessary conditions on Applicant, the necessary care can be taken.",CONCLUSION
"Hence, I prefer to pass following Order.",CONCLUSION
"2] Informant Disha @ Reshma Rohit Bhise is wife of Applicant No.1, rest of the applicants are her in­laws.",PREMISE
"She has alleged that, after marriage with Applicant No. 1 in the year 2016 all Applicants ill­treated her for demand of Rs.5,00,000/­ to establish a shop.",PREMISE
Ultimately on 20.11.2017 applicant No.1 deserted her and not resumed cohabitation.,PREMISE
"Therefore, she lodged the report.",PREMISE
"3] Applicants submit that, the FIR is filed to harass them.",PREMISE
"They never ill­treated informant, nor demanded any amount to her.",PREMISE
The entire FIR is vague and general in nature without any specific details of ill­treatment.,PREMISE
"They are reputed persons, not going to flee away from course of justice.",PREMISE
"Hence, they pray for interim protection.",CONCLUSION
4] Heard learned Adv. M.M.Nanavare for Applicants.,PREMISE
Perused the FIR and papers.,PREMISE
"5] Prima facie, the allegations against Applicants are to the extent that, they demanded money to informant, as well as ill­treated her for domestic reasons.",PREMISE
No immediate recovery is pending against Applicants.,PREMISE
"Therefore, immediate custody of the Applicants are not necessary.",PREMISE
"They are having roots in the society, therefore, their presence can be secured.",PREMISE
"Hence, I prefer to pass following order.",CONCLUSION
2] Informant is married lady of 23 years.,PREMISE
She performed marriage with one Jitendra Tiwari in the year 2011.,PREMISE
"After marriage, she begot one son.",PREMISE
"She alleged that, her husband and father­in­law used to abuse and beat her for domestic reasons.",PREMISE
"In May 2017, her father­in­law entered into her room and by putting her under threat to assault minor son, committed forceful sexual intercourse with her.",PREMISE
"After the incident she narrated it to her husband, but her husband disbelieved her.",PREMISE
Present Applicant Riya is having love affair with husband of Informant.,PREMISE
"Informant alleges that, present Applicant also made her to keep physical relations with her father­in­law, threatened her for causing death of her minor son.",PREMISE
"As such, she lodged report against husband, father­in­law and present Applicant.",CONCLUSION
"3] Applicant submits that, Informant alleges the incident during the period from May 2017 to October 2017, but she approached to police in February 2018.",PREMISE
"Therefore, there is sufficient delay in lodging the report without any explanation.",PREMISE
"4] Applicant further submits that, she is a lady.",PREMISE
She has no concern with the alleged incident of sexual assault on Informant.,PREMISE
"Only allegations are to the extent of threatening to the Informant, but for which her custody is not necessary.",PREMISE
Police have completed investigation and charge­sheet has been filed.,PREMISE
"Therefore, also custodial interrogation of the Applicant is not necessary.",CONCLUSION
"5] Advocate for Applicant has relied upon following two citations and contended that, while considering the application of Anticipatory Bail, Court should consider the possibility of false implication of Applicant and genuineness of the allegations.",PREMISE
"[1] Sidharam Mhetre Vs. State of Maharashtra & Ors, reported in AIR 2011 SC 312.",PREMISE
"[2] Gurubaksha Singh Sibbia Vs. State of Punjab, reported in AIR 1980, SC 1632.",PREMISE
6] Learned APP Mr.Satpute appeared for Respondent/State and filed report investigation officer.,PREMISE
"He submits that, Informant has narrated the specific role of the present Applicant.",PREMISE
Offence is serious in nature.,PREMISE
Investigation with the Applicant is necessary.,PREMISE
There are chances of tampering.,PREMISE
"Therefore, the application may be rejected.",CONCLUSION
"7] Heard Adv. Y. M. Gaikwad for Applicant, learned APP Mr. Satpute for the State.",PREMISE
Perused FIR and Papers.,PREMISE
"8] Informant alleged against Applicant to the extent that, Applicant also used to make her to keep relations with her father­in­ law.",PREMISE
"When Informant requested Applicant for not to interfere in her martial life, Applicant pressurized her for giving divorce to her husband and also threatened her to cause death of her son.",PREMISE
"But as per report itself, the incident was in between May 2017 to October 2017, but the report has been lodged in February 2018.",PREMISE
"Prima facie, there is no explanation for delay.",PREMISE
"Moreover, considering the allegations against Applicant, those are seen to be omnibus in nature without any specification.",PREMISE
"In the aforesaid citations, Hon'ble Supreme Court has laid down that, possibility of mala­fide accusation is to be accessed while deciding the Anticipatory Bail and also to see whether custody of the Applicant is warranted for investigation of the crime.",PREMISE
"In the present matter, police have completed investigation and filed charge­sheet.",PREMISE
"Considering the alleged role of Applicant, nothing is to be recovered from the Applicant.",PREMISE
Applicant is a lady.,PREMISE
"Prima facie, there is delay in FIR.",PREMISE
Accusations are prima facie vague.,PREMISE
"Therefore, immediate custody of the Applicant may not be necessary.",CONCLUSION
"If suitable conditions are imposed, the purpose of investigation machinery will be served.",CONCLUSION
"Hence, I prefer to pass following Order.",CONCLUSION
